,Year,Country_Code,Country_Name,Population_Density,People_Near_Rapid_Transit,Transit_Legend
4616,1991,NOR,Norway,6525.375876338456,0.7374163280787984,0.7374163280787984
4617,1992,NOR,Norway,6523.662589750482,0.7281072969718648,0.7281072969718648
4618,1993,NOR,Norway,6521.949303162508,0.7187982658649312,0.7187982658649312
4619,1994,NOR,Norway,6520.236016574534,0.7094892347579976,0.7094892347579976
4620,1995,NOR,Norway,6518.52272998656,0.700180203651064,0.700180203651064
4621,1996,NOR,Norway,6531.634901772384,0.6941192861548784,0.6941192861548784
4622,1997,NOR,Norway,6544.747073558208,0.6880583686586929,0.6880583686586929
4623,1998,NOR,Norway,6557.859245344032,0.6819974511625072,0.6819974511625072
4624,1999,NOR,Norway,6570.971417129856,0.6759365336663217,0.6759365336663217
4625,2000,NOR,Norway,6584.08358891568,0.669875616170136,0.669875616170136
4626,2001,NOR,Norway,6614.577334666258,0.6654138208419342,0.6654138208419342
4627,2002,NOR,Norway,6645.071080416836,0.6609520255137324,0.6609520255137324
4628,2003,NOR,Norway,6675.564826167414,0.6564902301855305,0.6564902301855305
4629,2004,NOR,Norway,6706.058571917992,0.6520284348573288,0.6520284348573288
4630,2005,NOR,Norway,6736.55231766857,0.647566639529127,0.647566639529127
4631,2006,NOR,Norway,6828.222758342246,0.6346027301410639,0.6346027301410639
4632,2007,NOR,Norway,6919.893199015923,0.6216388207530009,0.6216388207530009
4633,2008,NOR,Norway,7011.563639689598,0.608674911364938,0.608674911364938
4634,2009,NOR,Norway,7103.234080363274,0.595711001976875,0.595711001976875
4635,2010,NOR,Norway,7194.90452103695,0.582747092588812,0.582747092588812
4636,2011,NOR,Norway,7273.138425655116,0.5653622124455837,0.5653622124455837
4637,2012,NOR,Norway,7351.372330273282,0.5479773323023556,0.5479773323023556
4638,2013,NOR,Norway,7429.606234891448,0.5305924521591274,0.5305924521591274
4639,2014,NOR,Norway,7507.840139509614,0.5132075720158992,0.5132075720158992
4640,2015,NOR,Norway,7586.07404412778,0.495822691872671,0.495822691872671
4641,2016,NOR,Norway,7634.3396926858,0.5005369701522357,0.5005369701522357
4642,2017,NOR,Norway,7682.6053412438205,0.5052512484318006,0.5052512484318006
4643,2018,NOR,Norway,7730.87098980184,0.5099655267113654,0.5099655267113654
4644,2019,NOR,Norway,7779.13663835986,0.5146798049909301,0.5146798049909301
4645,2020,NOR,Norway,7827.40228691788,0.519394083270495,0.519394083270495
4646,2021,NOR,Norway,7910.3542993402625,0.513501235421039,0.513501235421039
4647,2022,NOR,Norway,7993.306311762644,0.507608387571583,0.507608387571583
4648,2023,NOR,Norway,8076.258324185027,0.501715539722127,0.501715539722127
4649,2024,NOR,Norway,8159.21033660741,0.495822691872671,0.495822691872671
5700,1975,ESP,Spain,20925.6082307787,0.281662846030674,0.281662846030674
5701,1976,ESP,Spain,21113.53569341934,0.2880909731846122,0.2880909731846122
5702,1977,ESP,Spain,21301.46315605998,0.2945191003385504,0.2945191003385504
5703,1978,ESP,Spain,21489.390618700618,0.3009472274924886,0.3009472274924886
5704,1979,ESP,Spain,21677.31808134126,0.3073753546464268,0.3073753546464268
5705,1980,ESP,Spain,21865.2455439819,0.313803481800365,0.313803481800365
5706,1981,ESP,Spain,21862.91717163946,0.3283393079844194,0.3283393079844194
5707,1982,ESP,Spain,21860.58879929702,0.3428751341684738,0.3428751341684738
5708,1983,ESP,Spain,21858.260426954577,0.3574109603525282,0.3574109603525282
5709,1984,ESP,Spain,21855.932054612134,0.3719467865365826,0.3719467865365826
5710,1985,ESP,Spain,21853.6036822697,0.386482612720637,0.386482612720637
5711,1986,ESP,Spain,21833.36503879934,0.394228696700838,0.394228696700838
5712,1987,ESP,Spain,21813.126395328974,0.401974780681039,0.401974780681039
5713,1988,ESP,Spain,21792.88775185862,0.40972086466124,0.40972086466124
5714,1989,ESP,Spain,21772.649108388257,0.417466948641441,0.417466948641441
5715,1990,ESP,Spain,21752.4104649179,0.425213032621642,0.425213032621642
5716,1991,ESP,Spain,21591.928913965457,0.4365987326784466,0.4365987326784466
5717,1992,ESP,Spain,21431.44736301302,0.4479844327352512,0.4479844327352512
5718,1993,ESP,Spain,21270.965812060575,0.4593701327920558,0.4593701327920558
5719,1994,ESP,Spain,21110.48426110814,0.4707558328488604,0.4707558328488604
5720,1995,ESP,Spain,20950.0027101557,0.482141532905665,0.482141532905665
5721,1996,ESP,Spain,20876.10156892416,0.4900096298954626,0.4900096298954626
5722,1997,ESP,Spain,20802.20042769262,0.4978777268852602,0.4978777268852602
5723,1998,ESP,Spain,20728.29928646108,0.5057458238750578,0.5057458238750578
5724,1999,ESP,Spain,20654.39814522954,0.5136139208648554,0.5136139208648554
5725,2000,ESP,Spain,20580.497003998,0.521482017854653,0.521482017854653
5726,2001,ESP,Spain,20662.7739510898,0.531951799879681,0.531951799879681
